Rank,Model,RMSE,MAE,MAPE
1,SARIMA,2700490.944722844,1937834.3687431416,3.95098232712492
2,Prophet,3676450.9270586236,2612769.237916548,5.196972259404656
3,XGBoost,4985476.227017121,3433546.735000001,6.730449775384493
